Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4784947759,JBZ4520,NY,PAS,06/29/2022,36,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0548P,,BK,,,NB SHORE RD @ 97TH S,T,0,1180,B,T,,,,WH,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024872990,JRN6843,NY,OMS,06/28/2022,5,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0747A,,MN,,,WB E 14TH STREET @ I,RVING PL,0,1111,C,T,,,,GY,,2019,,0,,BUS LANE VIOLATION,,,
4024566994,JBW3340,NY,PAS,06/12/2022,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0524P,,QN,,,NB MAIN ST @ 39TH AV,E,0,1111,C,T,,,,BL,,2014,,0,,BUS LANE VIOLATION,,,
2006731026,KFK7009,NY,PAS,07/13/2022,21,SUBN,SUBAR,S,9130,5580,5680,20220927,72.0,72,0,0,BX07,,0911A,00000,Kings,O,505,51 STREET,,0,408,d1,,Y,0830A,1000A,GY,,2005,,0,,No Parking Street Cleaning,,,
4784827560,KPY4268,NY,PAS,06/24/2022,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0818P,,QN,,,SB WOODHAVEN BLVD @,81ST AVE,0,1180,B,T,,,,BL,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024605276,KSC2731,NY,PAS,06/15/2022,5,SUBN,MAZDA,V,0,40404,40404,0,,0,0,0,,,0704A,,BK,,,NB UTICA AVE @ AVE L,,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4785807611,KJX8593,NY,PAS,07/01/2022,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,1251P,,QN,,,SB 114TH ST @ 37TH A,VE,0,1180,B,T,,,,BR,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785030574,K97MYX,NJ,PAS,06/27/2022,36,SD,BMW,V,0,0,0,0,,0,0,0,,,0829P,,BX,,,NB BAYCHESTER AVE @,CRAWFORD AVE,0,1180,B,T,,,,,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786142153,JBN7552,NY,PAS,07/06/2022,36,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0329P,,BX,,,SB COMMERCE AVE @ GL,EASON AVE,0,1180,B,T,,,,WH,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024626917,LNM1572,PA,PAS,06/13/2022,5,SW,FORD,V,0,73120,0,0,,0,0,0,,,0505P,,BX,,,EB EAST FORDHAM ROAD,@ WASHINGTON AVE,0,1111,C,T,,,,,,2018,,0,,BUS LANE VIOLATION,,,
